sequence,tracker,sensor,theta,measured_event_rate,measured_fps,power_mW,wall_clock_s,mota,motp,idf1,id_switches,num_gt,num_pred
MOT17-04-SDP,centroid,DVS,0.2,758046.5,30.0,22.892,10.0,-0.16461198040145408,0.36805929151502687,0.01490749367762545,13,12654,2372
MOT17-04-SDP,centroid,CIS-RGB,,,30.0,359.9477,5.42,-0.21834992887624471,0.3638933295439633,0.08682821633278474,48,12654,4967
MOT17-04-SDP,centroid,CIS-gray,,,30.0,359.9477,6.21,-0.22862336020230756,0.36716447959517523,0.0854362340160688,39,12654,5020
MOT17-04-SDP,iou,DVS,0.2,758046.5,30.0,22.892,8.95,-0.13671566303145255,0.3639576468696703,0.01379027853631895,10,12654,1994
MOT17-04-SDP,iou,CIS-RGB,,,30.0,359.9477,5.01,-0.1955903271692745,0.363362297586047,0.0961449676823638,35,12654,4674
MOT17-04-SDP,iou,CIS-gray,,,30.0,359.9477,5.87,-0.2026236763078868,0.3671111420701133,0.0906626679739316,33,12654,4685
MOT17-04-SDP,sort,DVS,0.2,758046.5,30.0,22.892,8.86,-0.13458195037142406,0.3869584729283975,0.01541189307146754,11,12654,2010
MOT17-04-SDP,sort,CIS-RGB,,,30.0,359.9477,6.28,-0.18436857910542126,0.37088197500933806,0.10222865412445731,34,12654,4621
MOT17-04-SDP,sort,CIS-gray,,,30.0,359.9477,6.68,-0.18942626837363674,0.37714880436986914,0.09460475336841496,34,12654,4639
